celltype;Cell type;closest Cell Ontology term(s);Cell Ontology ID;Cell_type_cytoscape;celltypedata;celltypedata_oldorder
Sm Ms GE junction;Smooth Muscle (GE Junction);smooth muscle cell;CL:0000192;Sm Ms GE junction;Sm Ms GE junction;Sm Ms GE junction
Sm Ms General;Smooth Muscle (General);smooth muscle cell;CL:0000192;Sm Ms General;Sm Ms General;Sm Ms GI
Sm Ms GI;Smooth Muscle (General Gastrointestinal);smooth muscle cell;CL:0000192;Sm Ms GI;Sm Ms GI;Sm Ms General
Sm Ms Mucosal;Smooth Muscle (Esophageal Mucosal);smooth muscle cell;CL:0000192;Sm Ms Mucosal;Sm Ms Mucosal;Sm Ms Mucosal
Sm Ms Muscularis 1;Smooth Muscle (Esophageal Muscularis) 1;smooth muscle cell of the esophagus;CL:0002599;Sm Ms Muscularis 1;Sm Ms Muscularis 1;Sm Ms Muscularis 1
Sm Ms Muscularis 2;Smooth Muscle (Esophageal Muscularis) 2;smooth muscle cell of the esophagus;CL:0002599;Sm Ms Muscularis 2;Sm Ms Muscularis 2;Sm Ms Muscularis 2
Sm Ms Muscularis 3;Smooth Muscle (Esophageal Muscularis) 3;smooth muscle cell;CL:0000192;Sm Ms Muscularis 3;Sm Ms Muscularis 3;Sm Ms Muscularis 3
Sm Ms Uterine;Smooth Muscle (Uterine);uterine smooth muscle cell;CL:0002601;Sm Ms Uterine;Sm Ms Uterine;Sm Ms Uterine
Sm Ms Vaginal;Smooth Muscle (Vaginal);smooth muscle cell;CL:0000192;Sm Ms Vaginal;Sm Ms Vaginal;Sm Ms Vaginal
T Lymphocyte 1 (CD8+);T Lymphocyte 1 (CD8+);CD8-positive, alpha-beta T cell;CL:0000625;T Lymphocyte 1 (CD8+);T Lymphocyte 1 (CD8+);T Lymphocyte 1 (CD8+)
T lymphocyte 2 (CD4+);T lymphocyte 2 (CD4+);CD4-positive, alpha-beta T cell;CL:0000624;T lymphocyte 2 (CD4+);T lymphocyte 2 (CD4+);T lymphocyte 2 (CD4+)
Transitional Cortical;Transitional Zone Cortical Cell;cortical cell of adrenal gland;CL:0002097;Transitional Cortical;Transitional Cortical;Transitional Cortical
Tuft;Tuft Cell;intestinal tuft cell;CL:0019032;Tuft;Tuft;Tuft
Type I Skeletal Myocyte;Type I Skeletal Myocyte;type I muscle cell;CL:0002211;Type I Skeletal Myocyte;Type I Skeletal Myocyte;Type I Skeletal Myocyte
Type II Skeletal Myocyte;Type II Skeletal Myocyte;type II muscle cell;CL:0002212;Type II Skeletal Myocyte;Type II Skeletal Myocyte;Type II Skeletal Myocyte
V Cardiomyocyte;Ventricular Cardiomyocyte;ventricular cardiac muscle cell;CL:2000046;V Cardiomyocyte;V Cardiomyocyte;V Cardiomyocyte
Vasc Sm Muscle 1;Vascular Smooth Muscle 1;blood vessel smooth muscle cell;CL:0019018;Vasc Sm Muscle 1;Vasc Sm Muscle 1;Vasc Sm Muscle 1
Vasc Sm Muscle 2;Vascular Smooth Muscle 2;blood vessel smooth muscle cell;CL:0019018;Vasc Sm Muscle 2;Vasc Sm Muscle 2;Vasc Sm Muscle 2
